"","BothControl1","BothControl2","BothControl3","AdultIUGR1","AdultIUGR2","AdultIUGR3","AdultLact1","AdultLact2","AdultLact3","OffIUGR1","OffIUGR2","OffIUGR3","OffLact1","OffLact2","OffLact3"
"1420841_at",7.32487882053513,7.30521974074912,7.43822830804007,7.21517382919465,7.61393348739168,7.27995844804134,6.8595036464951,7.08048596938737,7.07093874172318,7.08041008075381,7.44154273808187,7.21636698609355,7.39723224335867,7.4349681197083,7.22053176669302
"1434360_s_at",6.79924061714769,6.77700975690033,6.66184463677857,6.62952101169693,6.88827289627055,7.48372150002029,7.44187667910311,6.65131895722528,6.82739269406323,5.88181211229941,6.0821764583881,6.06662507412447,6.2311522992082,6.36319460216044,6.47391869564324
"1423278_at",7.17924923737335,7.06196928462907,7.26318970024885,7.53860391254194,7.37068261741435,7.5657088911497,7.55632755781695,7.36475578880321,7.60674820980678,7.35364572683948,7.50318295144035,7.44906016539118,7.25243342352059,7.17123511851878,7.427611038455
"1438828_at",4.31394571628934,4.34629118131169,4.41618717819757,4.71719294283388,4.20019008284016,4.38673052069925,4.7420355718904,4.40533410331079,4.26837181968283,4.72375395361545,4.58375509991389,4.9722236629792,4.48712687734529,4.3161377748365,4.62250982529586
"1420628_at",8.09868750611027,8.33593615047849,8.31754636676654,8.13532642478515,8.24660827433306,8.33110822637285,8.23276873963277,7.7701062775549,8.09497074559756,8.5370423533578,8.35840117668661,7.94658420064011,8.14814854166309,8.06967526573201,7.84172204841478
"1419642_at",7.56724077504275,7.60674717360687,7.47349734056711,7.30306229480674,7.23586392869015,7.3565841789478,7.19296305225069,7.03947410813799,7.62147630534797,7.52022489850947,7.37734294737851,7.0479404725795,6.97064769802799,7.15392798594486,7.23172614563843
"1425487_at",4.98893527964393,5.32885094767286,5.2437256517544,5.22863029814564,4.96462650587757,5.28113607503235,5.2763365339364,4.5907346427286,4.97242529673921,5.24878611545701,5.11363254714393,4.73204289718478,5.00255152834515,4.45183275472148,4.89072094930807
"1429736_at",3.98569632161369,4.51599517345524,4.37786239845291,4.22968084295376,4.00662299102042,4.38757874596874,4.54681829989704,4.12359761944609,4.25744672430273,4.00378863644791,4.53734290707413,4.07124245056399,4.37196146480851,4.09934360646015,4.35735414338152
"1457783_at",3.73867222895935,3.93067936524591,3.82833643791817,4.28201981965139,3.69818808970706,4.12229905402448,4.17981942082366,3.91222200784285,4.10726232025556,3.91535084170771,4.11951943048574,3.65805470281721,4.03301227014804,3.85326184157796,3.95377083252558
"1438097_at",5.18214624561938,5.54423998042713,5.37788427092106,5.18214624561938,5.43837599157768,5.54164375566768,5.25081618744348,4.65324296059427,4.93398074173311,4.7257959781758,5.14633392615353,4.7759867764442,5.37788427092106,5.18214624561938,5.13755940874722
"1460555_at",4.65508537588352,4.54619231453064,5.00245071785784,5.06313569330498,4.56937126028443,4.52666982434479,4.27581547454638,3.89636538458524,5.11816149107015,4.44460087545171,4.94422210078868,4.66554253576482,4.90173858169992,4.51032620705194,4.65508537588352
"1418341_at",7.44588470633679,7.37931552067275,7.33319713088132,7.31398348910209,7.37509372359397,7.29241514358067,7.43715965547874,7.38829569710197,7.03504792398372,7.03070793967749,7.0902513635897,6.94464411264483,7.03412414846043,6.99184362173988,6.77673214013408
"1451643_a_at",7.02501146421922,6.70489044820486,7.14635602683967,6.83499458849426,6.80858466067778,6.83499458849426,6.59476753395364,6.99063218862961,7.05174669826957,6.57674223493056,6.79885984948726,6.88318348580357,7.06748658028922,6.59204957981323,6.67729583897942
"1447776_x_at",8.08184261979323,8.27443818679971,8.70400074378444,7.98852015225229,8.37655589626858,7.86681634079221,7.94595880247663,8.06818428371343,7.91150848403579,8.51069786137973,8.46571538653171,8.35703365277805,8.46149804994244,8.22685059269219,8.23707291159413
"1449207_a_at",3.07775974490584,3.10968729795365,3.12058111896624,3.33015139427581,3.06348572159957,2.8661036093603,2.93203842078189,3.49460786649009,2.95789031661868,3.31963755285801,3.07775974490584,3.03572245405693,3.66900052973478,2.95406251794624,3.12058111896624
"1417620_at",4.04155933105464,4.26148900844634,4.65530874164796,4.16630879366411,4.02859828487297,4.09088463046353,4.08522370599313,4.62595043412737,4.25973050047707,3.94319046176875,4.43408000904969,4.26148900844634,3.95530989961561,4.31149608552126,4.55304347473426
